nationality,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating,country
Argentina,81,79,183,67,68,64,80,56,80,70,176,68,78,76,74,72,86.0,76.0,176.0,76.0,80.0,86.0,52.0,81.0,79.0,Argentina
Australia,72,74,178,70,60,70,70,49,72,76,179,65,67,73,63,63,71.0,75.0,182.0,68.0,64.0,72.0,57.0,68.0,78.0,Australia
Belgium,81,86,188,70,67,64,79,58,80,77,184,64,78,71,65,74,87.0,75.0,180.0,69.0,80.0,83.0,58.0,80.0,89.0,Belgium
Brazil,85,78,182,74,73,74,82,60,83,76,180,72,77,72,79,73,85.0,71.0,175.0,69.0,81.0,89.0,58.0,78.0,85.0,Brazil
Colombia,78,79,182,71,63,72,78,49,78,75,181,67,73,73,72,65,80.0,72.0,174.0,70.0,74.0,78.0,46.0,74.0,78.0,Colombia
Costa Rica,70,74,181,68,57,69,68,45,72,73,179,66,70,70,64,65,68.0,70.0,179.0,57.0,61.0,83.0,55.0,62.0,85.0,Costa Rica
Croatia,77,82,187,70,61,64,75,46,84,74,181,67,83,74,70,75,79.0,80.0,184.0,70.0,72.0,76.0,57.0,73.0,84.0,Croatia
Denmark,76,84,189,66,63,67,74,50,79,73,179,69,78,68,67,73,76.0,78.0,185.0,70.0,68.0,76.0,55.0,71.0,82.0,Denmark
Egypt,70,75,181,67,57,70,68,50,72,74,179,63,70,71,59,62,72.0,74.0,179.0,63.0,67.0,75.0,51.0,68.0,70.0,Egypt
England,80,74,182,71,72,72,78,59,79,81,186,69,75,74,72,65,83.0,74.0,181.0,70.0,76.0,83.0,64.0,74.0,81.0,England
France,80,79,185,73,68,72,78,52,85,73,181,73,80,76,76,72,84.0,75.0,179.0,73.0,79.0,81.0,57.0,78.0,88.0,France
Germany,82,85,188,65,69,66,79,56,84,78,183,65,82,73,73,74,84.0,78.0,184.0,70.0,78.0,79.0,55.0,76.0,92.0,Germany
Iceland,70,73,183,67,57,65,70,52,72,76,182,71,70,69,69,62,74.0,72.0,182.0,60.0,75.0,70.0,58.0,71.0,67.0,Iceland
Iran,71,77,180,63,69,77,68,64,70,78,186,62,68,68,58,64,73.0,74.0,183.0,68.0,66.0,76.0,52.0,68.0,66.0,Iran
Japan,73,74,181,71,57,71,71,45,74,67,174,65,72,79,61,63,79.0,74.0,177.0,75.0,76.0,77.0,56.0,71.0,74.0,Japan
Mexico,75,76,184,69,63,70,73,49,78,67,170,71,77,79,58,72,78.0,74.0,176.0,73.0,72.0,81.0,51.0,73.0,77.0,Mexico
Morocco,74,80,185,66,59,70,71,47,78,75,182,64,76,75,66,65,74.0,78.0,187.0,65.0,63.0,71.0,49.0,64.0,75.0,Morocco
Nigeria,72,79,185,68,57,72,70,45,74,72,177,68,71,80,63,62,75.0,66.0,171.0,74.0,66.0,91.0,46.0,68.0,68.0,Nigeria
Panama,69,80,182,68,52,67,68,41,68,78,182,64,63,75,55,63,,,,,,,,,,Panama
Peru,70,75,179,67,59,69,65,50,71,71,174,67,68,76,55,62,75.0,72.0,176.0,75.0,73.0,81.0,52.0,71.0,74.0,Peru
Poland,73,78,184,69,57,68,72,43,76,76,178,66,73,75,68,63,80.0,77.0,186.0,71.0,68.0,75.0,54.0,75.0,84.0,Poland
Portugal,80,77,184,72,67,69,78,62,82,72,178,65,79,71,72,70,85.0,73.0,179.0,71.0,84.0,83.0,65.0,79.0,84.0,Portugal
Russia,75,77,184,64,65,62,74,57,78,74,181,66,77,76,73,68,75.0,79.0,186.0,61.0,71.0,70.0,54.0,68.0,80.0,Russia
Saudi Arabia,72,71,179,69,53,68,70,47,69,68,175,64,65,74,61,57,67.0,78.0,186.0,74.0,56.0,65.0,45.0,62.0,72.0,Saudi Arabia
Senegal,74,74,181,65,60,74,72,42,77,80,184,69,70,74,73,62,78.0,77.0,182.0,73.0,68.0,84.0,55.0,69.0,74.0,Senegal
Serbia,78,84,186,68,67,64,78,55,79,81,189,67,74,68,73,70,76.0,80.0,182.0,67.0,68.0,73.0,49.0,68.0,75.0,Serbia
South Korea,71,75,183,65,55,68,70,41,74,70,178,67,74,75,65,68,69.0,75.0,180.0,68.0,64.0,71.0,45.0,60.0,69.0,South Korea
Spain,84,74,178,77,72,79,81,59,86,74,179,68,84,72,71,75,84.0,73.0,179.0,70.0,79.0,81.0,57.0,78.0,83.0,Spain
Sweden,75,81,187,64,62,65,75,53,74,74,182,61,71,66,67,66,77.0,78.0,186.0,66.0,71.0,66.0,53.0,72.0,75.0,Sweden
Switzerland,77,81,185,70,67,70,75,57,77,77,183,62,74,66,75,65,76.0,80.0,179.0,70.0,70.0,77.0,56.0,70.0,82.0,Switzerland
Tunisia,71,81,186,66,58,60,71,45,71,73,183,66,70,70,69,58,74.0,76.0,176.0,54.0,73.0,77.0,48.0,71.0,73.0,Tunisia
Uruguay,78,74,178,75,65,72,75,52,76,68,176,63,74,78,72,60,81.0,78.0,181.0,72.0,72.0,74.0,59.0,76.0,81.0,Uruguay
